design_id,length,net_charge_pH7.4,gravy,hydrophobic_moment,aggregation_proxy,cys_count,delivery_proxy,n_liabilities,liabilities
KPC3_design_2483,38,-2.03,-0.653,0.576,0.514,0,0.48,1,homopolymer_run>=4
KPC3_design_2472,32,-2.02,-0.119,0.527,1.8,0,0.439,0,
KPC3_design_3297,45,-5.14,-0.1,0.571,1.1,1,0.476,2,odd_Cys(free_thiol);motif_DG
KPC3_design_1089,41,0.01,-0.89,0.719,1.014,0,0.501,0,
KPC3_design_3239,31,-4.02,-0.274,0.677,1.057,0,0.5,0,
KPC3_design_0068,31,-2.03,-0.981,0.547,0.6,0,0.456,1,N-term_Q/E(pyroglutamate)
KPC3_design_3235,31,-5.02,-0.11,0.608,2.057,0,0.5,1,homopolymer_run>=4
KPC3_design_4684,45,-4.02,-0.669,0.636,0.7,0,0.5,1,motif_DG
KPC3_design_2425,33,-1.03,-1.218,0.598,1.143,0,0.498,0,
KPC3_design_1817,44,-5.99,-0.225,0.573,2.129,0,0.477,0,
KPC3_design_2914,25,-3.02,0.268,0.361,1.743,0,0.301,1,N-term_Met(ox)
KPC3_design_4097,44,-4.03,-0.45,0.705,1.357,0,0.5,0,
KPC3_design_4212,30,-2.02,-1.047,0.68,1.343,0,0.5,0,
KPC3_design_3043,32,-3.02,0.203,0.633,1.814,0,0.5,0,
KPC3_design_3550,37,-0.25,-0.17,0.623,1.071,2,0.5,1,motif_DP
KPC3_design_4266,42,-3.02,-0.279,0.858,0.786,0,0.5,0,
KPC3_design_4330,39,-2.14,-0.228,0.674,1.771,1,0.5,2,odd_Cys(free_thiol);motif_NS
KPC3_design_4681,45,-5.99,-0.909,0.604,0.514,0,0.5,1,motif_DP
KPC3_design_3448,27,-5.02,-0.219,0.602,1.814,0,0.5,0,
KPC3_design_1111,41,-4.03,-0.637,0.761,1.486,0,0.5,0,
KPC3_design_4086,31,-5.02,0.619,0.527,2.943,0,0.439,0,
KPC3_design_3587,34,-7.02,-0.776,0.663,0.457,0,0.5,0,
KPC3_design_3577,29,-4.02,-0.062,0.654,1.057,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_2764,43,-6.02,0.07,0.756,1.9,0,0.5,0,
KPC3_design_1206,45,-4.02,0.329,0.779,1.9,0,0.5,0,
KPC3_design_0234,45,-4.09,-0.52,0.564,0.6,1,0.47,1,odd_Cys(free_thiol)
KPC3_design_0072,45,-3.03,-0.549,0.66,1.414,0,0.5,0,
KPC3_design_0773,41,-6.02,0.285,0.441,2.014,0,0.367,0,
KPC3_design_0713,39,-1.03,-1.238,0.641,-0.057,0,0.5,0,
KPC3_design_3601,44,-8.02,-0.189,0.684,1.2,0,0.5,2,N-term_Q/E(pyroglutamate);homopolymer_run>=4
KPC3_design_1904,45,-0.03,-0.316,0.717,1.129,0,0.5,0,
KPC3_design_1603,38,-5.13,-1.042,0.539,0.243,1,0.449,2,odd_Cys(free_thiol);motif_NG
KPC3_design_1844,22,-3.02,0.018,0.376,1.986,0,0.313,2,N-term_Q/E(pyroglutamate);motif_NG
KPC3_design_3571,29,-5.02,-0.248,0.497,1.014,0,0.414,0,
KPC3_design_0671,44,-3.03,-0.439,0.768,1.757,0,0.5,1,motif_DP
KPC3_design_1629,37,-5.02,-0.522,0.557,0.857,0,0.464,0,
KPC3_design_1066,32,-6.13,0.209,0.66,0.929,1,0.5,1,odd_Cys(free_thiol)
KPC3_design_1334,44,-3.02,-0.984,0.597,1.186,0,0.497,0,
KPC3_design_1989,41,-4.02,-0.422,0.622,1.743,0,0.5,1,motif_DP
KPC3_design_2733,43,-2.02,-0.428,0.753,1.686,0,0.5,2,motif_DP;homopolymer_run>=4
KPC3_design_2519,26,-2.03,-1.108,0.486,0.557,0,0.405,2,N-term_Met(ox);oxidation_prone(M/W)
KPC3_design_4172,43,-2.99,-0.316,0.538,1.171,0,0.448,0,
KPC3_design_4265,42,-7.09,-0.462,0.595,1.357,1,0.496,1,odd_Cys(free_thiol)
KPC3_design_0172,31,-3.03,-0.958,0.614,1.471,0,0.5,0,
KPC3_design_2458,41,-5.02,-0.683,0.709,1.243,0,0.5,0,
KPC3_design_1620,37,-2.13,-1.059,0.829,0.943,1,0.5,1,odd_Cys(free_thiol)
KPC3_design_1857,40,-2.03,-0.787,0.603,1.829,0,0.5,0,
KPC3_design_2042,35,-5.02,-0.654,0.751,1.271,0,0.5,1,motif_DG
KPC3_design_0271,44,-3.02,0.355,0.781,2.043,0,0.5,1,motif_DG
KPC3_design_2479,32,-3.02,-0.634,0.405,0.629,0,0.337,0,
KPC3_design_3388,27,-6.02,-0.493,0.632,1.686,0,0.5,1,homopolymer_run>=4
KPC3_design_4271,45,-1.03,-0.798,0.52,1.014,0,0.433,1,homopolymer_run>=4
KPC3_design_3591,44,-5.03,-0.582,0.547,1.7,0,0.456,0,
KPC3_design_2230,36,-0.14,-1.361,0.521,0.314,1,0.435,1,odd_Cys(free_thiol)
KPC3_design_2462,33,0.98,-0.115,0.759,1.143,0,0.581,0,
KPC3_design_2781,39,-5.02,0.164,0.463,1.171,0,0.386,0,
KPC3_design_2452,41,-1.03,-0.978,0.703,1.929,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_3229,39,-6.02,-0.703,0.653,0.9,0,0.5,0,
KPC3_design_3899,28,-2.25,-0.886,0.531,0.671,2,0.442,1,motif_DP
KPC3_design_0668,13,-0.02,1.123,0.283,1.6,0,0.235,1,N-term_Q/E(pyroglutamate)
KPC3_design_0776,41,-4.03,-0.69,0.557,1.971,0,0.464,0,
KPC3_design_0972,34,-4.02,-0.429,0.664,1.386,0,0.5,0,
KPC3_design_0801,12,-1.03,0.392,0.415,0.986,0,0.346,0,
KPC3_design_2848,26,-2.03,-0.25,0.333,0.529,0,0.277,1,N-term_Met(ox)
KPC3_design_1584,13,-2.02,0.085,0.048,0.143,0,0.04,2,N-term_Q/E(pyroglutamate);motif_DG
KPC3_design_3685,44,-1.02,-0.809,0.687,0.486,0,0.5,1,motif_DP
KPC3_design_2002,40,-1.03,-0.5,0.579,0.914,0,0.483,0,
KPC3_design_4674,12,-1.03,0.275,0.208,1.286,0,0.173,1,N-term_Q/E(pyroglutamate)
KPC3_design_1257,36,-0.02,-0.478,0.545,0.657,0,0.454,0,
KPC3_design_0740,44,-2.02,-0.295,0.636,1.029,0,0.5,0,
KPC3_design_3338,18,-1.03,-1.089,0.432,0.0,0,0.36,1,N-term_Met(ox)
KPC3_design_1331,44,-1.03,-0.182,0.546,1.286,0,0.455,0,
KPC3_design_3299,45,-5.02,-0.129,0.686,1.971,0,0.5,0,
KPC3_design_3431,33,-2.03,-0.373,0.478,1.714,0,0.399,1,motif_NG
KPC3_design_0469,38,-3.03,-1.084,0.609,0.857,0,0.5,0,
KPC3_design_0237,45,-1.02,-0.438,0.757,1.757,0,0.5,0,
KPC3_design_2889,21,-4.02,-0.205,0.566,0.857,0,0.472,2,N-term_Q/E(pyroglutamate);motif_DG
KPC3_design_1833,35,-1.14,-1.389,0.732,-0.114,1,0.5,1,odd_Cys(free_thiol)
KPC3_design_4630,30,-2.03,-0.693,0.661,0.857,0,0.5,0,
KPC3_design_3012,41,-9.02,-0.461,0.726,0.543,0,0.5,0,
KPC3_design_0688,12,-1.02,-0.592,0.308,0.514,0,0.256,2,N-term_Q/E(pyroglutamate);motif_DP
KPC3_design_2065,37,-1.02,0.178,0.716,1.657,0,0.5,1,motif_NG
KPC3_design_1158,37,-3.02,-1.216,0.759,0.186,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_0650,33,-2.14,-1.006,0.459,-0.086,1,0.383,2,odd_Cys(free_thiol);motif_DP
KPC3_design_0711,39,-3.03,-0.928,0.607,0.214,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_0569,12,0.97,1.692,0.332,1.814,0,0.358,0,
KPC3_design_3584,34,-5.02,-0.459,0.618,1.071,0,0.5,0,
KPC3_design_0708,37,-2.03,-1.386,0.443,1.2,0,0.369,0,
KPC3_design_0679,44,-5.03,-0.102,0.545,1.657,0,0.454,1,motif_DP
KPC3_design_3013,41,-6.03,-0.663,0.509,0.986,0,0.424,1,motif_DS
KPC3_design_2664,23,-5.02,-1.022,0.457,0.043,0,0.381,1,motif_DP
KPC3_design_0468,38,-6.1,0.095,0.494,2.343,1,0.412,1,odd_Cys(free_thiol)
KPC3_design_3713,31,-4.02,-0.106,0.789,1.643,0,0.5,0,
KPC3_design_3515,16,-3.03,-0.0,0.136,0.729,0,0.113,0,
KPC3_design_4069,34,-3.02,-0.706,0.71,1.671,0,0.5,0,
KPC3_design_1203,45,-6.02,-0.164,0.497,1.386,0,0.414,1,homopolymer_run>=4
KPC3_design_0294,37,-3.02,-0.732,0.533,1.086,0,0.444,1,N-term_Q/E(pyroglutamate)
KPC3_design_3317,37,-5.02,-0.514,0.637,0.914,0,0.5,1,homopolymer_run>=4
KPC3_design_1317,41,-3.02,-0.412,0.587,2.4,0,0.489,0,
KPC3_design_2550,41,1.01,-0.702,0.662,1.629,0,0.584,1,N-term_Q/E(pyroglutamate)
KPC3_design_0683,12,-2.03,-0.35,0.158,0.514,0,0.131,1,motif_DP
KPC3_design_2005,40,-0.03,-0.93,0.597,1.114,0,0.497,0,
KPC3_design_0730,38,-3.03,0.2,0.334,2.114,0,0.278,1,motif_DG
KPC3_design_0746,44,-6.02,0.343,0.503,2.414,0,0.419,0,
KPC3_design_0825,39,-2.14,-0.405,0.61,3.014,1,0.5,1,odd_Cys(free_thiol)
KPC3_design_3816,29,-4.48,-0.534,0.25,0.814,4,0.209,2,4_Cys;motif_DG
KPC3_design_4258,27,-3.02,0.163,0.659,2.086,0,0.5,0,
KPC3_design_2319,39,-2.03,-1.133,0.632,0.3,0,0.5,0,
KPC3_design_2879,36,-2.02,-0.689,0.687,0.629,0,0.5,0,
KPC3_design_0125,37,-6.02,-0.178,0.458,1.729,0,0.381,1,motif_DP
KPC3_design_0011,35,-2.02,-0.26,0.762,0.686,0,0.5,1,homopolymer_run>=4
KPC3_design_0855,38,0.01,-0.518,0.515,1.257,0,0.43,0,
KPC3_design_1737,37,-4.02,-0.8,0.601,0.829,0,0.5,0,
KPC3_design_1119,41,-2.14,-0.788,0.416,0.714,1,0.347,1,odd_Cys(free_thiol)
KPC3_design_0341,41,-4.03,-0.61,0.489,1.186,0,0.408,0,
KPC3_design_2450,41,-4.02,-0.3,0.694,1.429,0,0.5,0,
KPC3_design_0863,33,-1.03,-0.861,0.678,0.586,0,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_3654,37,-4.25,0.051,0.627,1.914,2,0.5,1,N-term_Q/E(pyroglutamate)
KPC3_design_1423,33,-1.03,-1.064,0.67,0.543,0,0.5,0,
KPC3_design_0001,17,-1.03,-0.206,0.342,-0.014,0,0.285,0,
KPC3_design_0129,37,-3.02,-0.286,0.522,1.329,0,0.435,0,
KPC3_design_3896,28,-0.03,-0.971,0.466,0.829,0,0.388,0,
KPC3_design_2924,35,-4.02,-0.786,0.738,0.814,0,0.5,2,N-term_Q/E(pyroglutamate);homopolymer_run>=4
KPC3_design_4349,12,-0.02,1.517,0.185,1.743,0,0.154,0,
KPC3_design_4242,15,-0.02,-0.347,0.285,0.643,0,0.238,1,N-term_Q/E(pyroglutamate)
KPC3_design_1044,14,0.97,-0.65,0.346,0.514,0,0.37,1,motif_DP
KPC3_design_0964,45,-3.03,-1.004,0.616,0.371,0,0.5,1,N-term_Met(ox)
