Subject,ML Score,MERCI Score Pos,MERCI Score Neg,Hybrid Score,Prediction,PPV
seq_rank_73,0.355,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_74,0.135,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_75,0.205,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_76,0.15,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_77,0.22,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_78,0.62,0.0,-0.5,0.12,Non-Toxin,0.0
seq_rank_79,0.38,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_8,0.3,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_80,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_81,0.325,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_82,0.075,0.0,0.0,0.075,Non-Toxin,0.0
seq_rank_83,0.215,0.0,0.0,0.215,Non-Toxin,0.124
seq_rank_84,0.095,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_85,0.17,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_86,0.23,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_87,0.195,0.0,0.0,0.195,Non-Toxin,0.098
seq_rank_88,0.115,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_89,0.29,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_9,0.81,0.0,-0.5,0.31,Non-Toxin,0.249
seq_rank_90,0.09,0.0,0.0,0.09,Non-Toxin,0.0
seq_rank_91,0.765,0.0,0.0,0.765,Toxin,0.843
seq_rank_92,0.44,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_93,0.225,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_94,0.265,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_95,0.43,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_96,0.665,0.0,0.0,0.665,Toxin,0.713
seq_rank_97,0.46,0.0,-0.5,0.0,Non-Toxin,0.0
seq_rank_98,0.725,0.0,0.0,0.725,Toxin,0.791
seq_rank_99,0.31,0.0,-0.5,0.0,Non-Toxin,0.0
