design_id,ipSAE_min,ipSAE_max,ipSAE_d0chn,ipSAE_d0dom,ipTM_af,pDockQ,pDockQ2,LIS,status
KPC3_445_1,0.0,0.012826,0.330853,0.259644,0.364,0.3176,0.0178,0.0746,ok
KPC3_457_0,0.02115,0.058261,0.427488,0.417011,0.583,0.3327,0.0435,0.2068,ok
KPC3_457_1,0.014312,0.020796,0.42312,0.412695,0.522,0.2535,0.034,0.1755,ok
KPC3_467_0,0.014687,0.029686,0.504503,0.501291,0.656,0.3155,0.1021,0.2753,ok
KPC3_467_1,0.045568,0.106817,0.600995,0.597984,0.726,0.316,0.2167,0.3455,ok
KPC3_474,0.052411,0.242922,0.606015,0.603168,0.729,0.4058,0.2208,0.3525,ok
KPC3_481,0.03323,0.404262,0.530226,0.519528,0.676,0.1807,0.0409,0.3016,ok
KPC3_482,0.021059,0.049181,0.425368,0.408758,0.504,0.2362,0.0292,0.1936,ok
KPC3_482_0,0.012302,0.015216,0.364897,0.341132,0.455,0.2868,0.0262,0.1489,ok
KPC3_488_1,0.099476,0.480757,0.568497,0.565136,0.741,0.4083,0.1192,0.3449,ok
KPC3_491_0,0.015616,0.034334,0.544341,0.541956,0.686,0.3283,0.1451,0.3046,ok
KPC3_491_1,0.068189,0.191324,0.704256,0.702934,0.782,0.4618,0.3094,0.4008,ok
KPC3_501_1,0.012058,0.014122,0.348349,0.31715,0.52,0.3231,0.0269,0.129,ok
KPC3_502,0.0,0.0,0.0,0.0,0.256,0.111,0.0117,0.0,ok
KPC3_517,0.013996,0.022115,0.43539,0.426217,0.544,0.3438,0.0505,0.2011,ok
KPC3_517_0,0.012901,0.01634,0.372304,0.36413,0.617,0.402,0.0515,0.1771,ok
KPC3_518,0.112771,0.559805,0.78628,0.785299,0.855,0.3177,0.2052,0.4994,ok
KPC3_522,0.025141,0.094489,0.394588,0.387976,0.649,0.1945,0.0495,0.205,ok
KPC3_535_1,0.074255,0.359765,0.519118,0.515552,0.705,0.2629,0.0649,0.2872,ok
KPC3_539_1,0.023398,0.083137,0.457205,0.444075,0.606,0.2718,0.0353,0.2061,ok
KPC3_546,0.031637,0.202402,0.530542,0.528979,0.722,0.1957,0.1095,0.3116,ok
KPC3_550,0.056081,0.384714,0.635096,0.633015,0.735,0.3487,0.1662,0.3897,ok
KPC3_554,0.049795,0.353323,0.634121,0.63192,0.787,0.1535,0.145,0.3873,ok
KPC3_555,0.027497,0.110111,0.491103,0.48709,0.699,0.1148,0.0871,0.2881,ok
KPC3_556,0.012933,0.020562,0.420165,0.41225,0.597,0.3393,0.0646,0.1887,ok
KPC3_559,0.059592,0.475179,0.656148,0.654094,0.793,0.2735,0.2743,0.4094,ok
KPC3_562,0.027585,0.208376,0.487415,0.4836,0.669,0.3285,0.0734,0.2736,ok
KPC3_568_0,0.0,0.0,0.0,0.0,0.449,0.2482,0.0203,0.0288,ok
KPC3_573_0,0.123085,0.583169,0.783354,0.782379,0.834,0.2152,0.2446,0.508,ok
KPC3_574,0.042608,0.325198,0.603026,0.600036,0.768,0.0857,0.0837,0.3582,ok
KPC3_586_1,0.025215,0.16095,0.474846,0.471799,0.676,0.1701,0.0747,0.2513,ok
KPC3_590_0,0.0,0.0,0.0,0.0,0.41,0.1807,0.0156,0.012,ok
KPC3_601_0,0.012248,0.014616,0.343778,0.326688,0.491,0.2202,0.0332,0.124,ok
KPC3_602,0.013263,0.015833,0.360873,0.353456,0.57,0.1931,0.0441,0.1671,ok
KPC3_615,0.013098,0.016875,0.380651,0.365585,0.506,0.282,0.0311,0.1576,ok
KPC3_623,0.011545,0.01185,0.302755,0.203945,0.519,0.2409,0.0297,0.0847,ok
KPC3_627,0.035248,0.179158,0.532799,0.52755,0.673,0.3082,0.0869,0.2888,ok
KPC3_631_1,0.0,0.0,0.0,0.0,0.462,0.2031,0.0192,0.0393,ok
KPC3_636_1,0.027323,0.070747,0.39791,0.390186,0.581,0.3486,0.0358,0.1636,ok
KPC3_638,0.012305,0.01306,0.33481,0.245301,0.522,0.1277,0.0223,0.0839,ok
KPC3_650_0,0.014381,0.03424,0.382706,0.372664,0.599,0.2565,0.0419,0.1744,ok
KPC3_650_1,0.011538,0.013787,0.342941,0.303375,0.465,0.2842,0.0225,0.101,ok
KPC3_656_0,0.019857,0.092955,0.415353,0.402339,0.552,0.2181,0.0345,0.179,ok
KPC3_656_1,0.012607,0.01644,0.381809,0.360478,0.537,0.3554,0.0329,0.1528,ok
KPC3_657,0.012631,0.0136,0.339698,0.30348,0.52,0.4058,0.0249,0.0965,ok
KPC3_658,0.044991,0.219383,0.469784,0.461636,0.667,0.1568,0.0607,0.2481,ok
KPC3_661_0,0.186311,0.517061,0.853644,0.85253,0.879,0.3459,0.3194,0.5433,ok
KPC3_662,0.05252,0.392225,0.617439,0.612539,0.684,0.2998,0.1124,0.3652,ok
KPC3_671_1,0.016042,0.024392,0.367334,0.360762,0.612,0.15,0.0392,0.1596,ok
KPC3_690_0,0.052606,0.056268,0.640847,0.639381,0.743,0.3657,0.2334,0.362,ok
KPC3_697_1,0.302059,0.494553,0.926371,0.925702,0.923,0.4393,0.5433,0.5689,ok
KPC3_713,0.011405,0.012309,0.320332,0.069546,0.461,0.1444,0.0225,0.0639,ok
KPC3_714,0.0,0.010736,0.290983,0.010736,0.417,0.3473,0.0177,0.0402,ok
KPC3_714_0,0.012603,0.022991,0.380402,0.365377,0.576,0.4658,0.0405,0.1517,ok
KPC3_727_1,0.0,0.0,0.0,0.0,0.337,0.2182,0.0143,0.0,ok
KPC3_731,0.120256,0.553965,0.732171,0.730434,0.842,0.0962,0.1212,0.4719,ok
KPC3_731_0,0.0,0.0,0.0,0.0,0.41,0.1078,0.0177,0.0212,ok
KPC3_734_0,0.011777,0.01478,0.35624,0.318255,0.449,0.2427,0.0255,0.1103,ok
KPC3_735,0.07048,0.458445,0.61581,0.612995,0.771,0.2623,0.1359,0.3978,ok
KPC3_742,0.011499,0.014735,0.35545,0.322802,0.44,0.2366,0.0247,0.1348,ok
KPC3_745,0.012124,0.012368,0.317058,0.21987,0.553,0.0936,0.0238,0.0834,ok
KPC3_753_0,0.05141,0.055611,0.630618,0.628406,0.742,0.3537,0.2339,0.3611,ok
KPC3_753_1,0.012988,0.028337,0.489038,0.48503,0.607,0.2563,0.1067,0.2476,ok
KPC3_758_0,0.012717,0.025984,0.46457,0.460598,0.579,0.2037,0.0835,0.2286,ok
KPC3_758_1,0.019127,0.03567,0.536679,0.533557,0.636,0.2125,0.1333,0.2912,ok
KPC3_769_1,0.063306,0.142162,0.691464,0.688679,0.79,0.2669,0.2158,0.3918,ok
KPC3_781_0,0.01352,0.035658,0.536038,0.532916,0.662,0.3052,0.1453,0.2909,ok
KPC3_803,0.074631,0.248314,0.544717,0.541038,0.734,0.2366,0.0848,0.3075,ok
KPC3_808,0.0,0.011693,0.306907,0.155835,0.386,0.2256,0.0173,0.0709,ok
KPC3_808_0,0.011225,0.012876,0.32802,0.291678,0.46,0.2798,0.023,0.092,ok
KPC3_808_1,0.0,0.010888,0.292076,0.010888,0.395,0.2157,0.0168,0.0466,ok
KPC3_809,0.010792,0.012306,0.318329,0.119529,0.487,0.1888,0.0232,0.0614,ok
KPC3_818_1,0.097311,0.644062,0.773442,0.771239,0.857,0.223,0.3666,0.5439,ok
KPC3_825,0.0,0.0,0.0,0.0,0.443,0.0861,0.0173,0.0233,ok
KPC3_836_0,0.012223,0.014855,0.363968,0.328175,0.444,0.253,0.0212,0.1034,ok
KPC3_836_1,0.0,0.0,0.0,0.0,0.394,0.2559,0.0165,0.03,ok
KPC3_851,0.010948,0.01333,0.324483,0.258567,0.48,0.1919,0.0298,0.0866,ok
KPC3_862_0,0.054143,0.474884,0.646316,0.644888,0.782,0.1764,0.1976,0.4392,ok
KPC3_870,0.068824,0.50428,0.702516,0.699998,0.827,0.1601,0.1312,0.4341,ok
KPC3_876,0.011751,0.012988,0.323805,0.254161,0.49,0.1711,0.0235,0.0945,ok
KPC3_898_0,0.014869,0.030341,0.510334,0.507156,0.667,0.3531,0.1187,0.2828,ok
KPC3_901,0.03948,0.390831,0.528045,0.522904,0.667,0.3706,0.0989,0.2733,ok
KPC3_910_0,0.030266,0.13683,0.500554,0.496681,0.626,0.2706,0.0922,0.2801,ok
KPC3_924,0.01743,0.032695,0.388623,0.375847,0.605,0.1318,0.0455,0.1929,ok
KPC3_928_0,0.010803,0.013146,0.326037,0.300913,0.462,0.3111,0.0306,0.1067,ok
KPC3_933_0,0.014322,0.025963,0.481782,0.47703,0.633,0.3002,0.0851,0.2601,ok
KPC3_960,0.013845,0.014522,0.3513,0.334185,0.588,0.1543,0.0361,0.1389,ok
KPC3_961,0.0,0.010801,0.288546,0.010801,0.484,0.3049,0.0206,0.0483,ok
KPC3_964_0,0.0,0.011828,0.307758,0.011828,0.427,0.2508,0.0193,0.0474,ok
KPC3_969_0,0.0,0.011484,0.301437,0.011484,0.416,0.2645,0.0196,0.0415,ok
KPC3_970,0.0,0.011693,0.309616,0.118253,0.457,0.3199,0.0202,0.0643,ok
KPC3_980,0.012041,0.014047,0.342615,0.321855,0.506,0.2245,0.0276,0.1191,ok
KPC3_991_0,0.01116,0.015585,0.358462,0.344329,0.46,0.2418,0.0322,0.1295,ok
KPC3_994,0.0,0.0,0.0,0.0,0.304,0.2201,0.0156,0.0,ok
KPC3_994_0,0.022838,0.151019,0.450752,0.444459,0.681,0.232,0.0664,0.2346,ok
config_KPC3_147,0.011532,0.060906,0.341219,0.164994,0.561,0.2351,0.028,0.0768,ok
config_KPC3_342,0.052944,0.438348,0.64574,0.642901,0.791,0.2805,0.194,0.4297,ok
config_KPC3_382,0.019022,0.036868,0.401847,0.389091,0.534,0.225,0.0386,0.1901,ok
config_KPC3_388,0.0,0.0,0.0,0.0,0.395,0.2846,0.0158,0.0,ok
config_KPC3_502,0.0,0.0,0.0,0.0,0.398,0.2471,0.0175,0.0034,ok
config_KPC3_505,0.02685,0.383089,0.489166,0.4815,0.705,0.2918,0.0769,0.2589,ok
config_KPC3_508,0.016034,0.138706,0.36873,0.350984,0.617,0.2073,0.0394,0.1576,ok
config_KPC3_562,0.0,0.0,0.0,0.0,0.444,0.1523,0.0208,0.029,ok
config_KPC3_580,0.045653,0.362318,0.466732,0.454843,0.671,0.2711,0.0506,0.2649,ok
config_KPC3_582_2,0.0,0.014325,0.353669,0.068077,0.483,0.3648,0.0227,0.0772,ok
config_KPC3_605,0.0,0.0,0.0,0.0,0.36,0.2086,0.0147,0.0,ok
config_KPC3_680,0.074903,0.513384,0.675515,0.672179,0.815,0.2605,0.1405,0.4046,ok
config_KPC3_740,0.0,0.0,0.0,0.0,0.513,0.1425,0.0228,0.0456,ok
config_KPC3_802,0.011685,0.012329,0.304784,0.245079,0.541,0.1402,0.0283,0.0977,ok
config_KPC3_809,0.061368,0.529593,0.687421,0.683941,0.83,0.3055,0.2464,0.4594,ok
config_KPC3_829,0.044246,0.430887,0.604493,0.60141,0.772,0.2317,0.17,0.3839,ok
config_KPC3_908,0.013454,0.015241,0.336931,0.254344,0.549,0.3681,0.0289,0.1063,ok
