design_id,length,net_charge_pH7.4,gravy,hydrophobic_moment,aggregation_proxy,cys_count,delivery_proxy,n_liabilities,liabilities
KPC3_089,14,-0.14,0.814,0.108,1.017,1,0.09,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_090,13,-1.02,0.369,0.264,0.671,0,0.22,1,N-term_Q/E(pyroglutamate)
KPC3_091,13,0.98,-0.423,0.362,0.414,0,0.383,0,
KPC3_092,13,1.98,0.177,0.557,0.857,0,0.628,0,
KPC3_093,13,-0.02,0.017,0.131,0.067,0,0.109,0,
KPC3_094,13,-0.02,-0.346,0.138,0.057,0,0.115,1,homopolymer_run>=4
KPC3_095,13,-0.14,0.567,0.073,1.167,1,0.061,1,odd_Cys(free_thiol)
KPC3_096,13,-3.14,-1.3,0.235,-1.271,1,0.196,2,odd_Cys(free_thiol);motif_DG
KPC3_097,13,-2.02,-0.2,0.126,0.443,0,0.105,0,
KPC3_098,13,-3.02,-0.677,0.308,-0.286,0,0.257,2,motif_DG;motif_DS
KPC3_099,13,-0.03,-0.146,0.275,0.3,0,0.229,1,motif_NS
KPC3_100,37,3.53,0.176,0.473,1.4,4,0.688,1,4_Cys
KPC3_101,37,-0.02,0.784,0.163,1.486,0,0.136,1,homopolymer_run>=4
KPC3_102,37,-1.14,0.592,0.251,1.743,1,0.209,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_103,37,-1.21,-0.075,0.284,0.857,2,0.237,2,motif_NG;oxidation_prone(M/W)
KPC3_104,37,1.01,0.572,0.557,2.514,0,0.548,1,oxidation_prone(M/W)
KPC3_105,37,-0.14,0.232,0.178,0.829,1,0.148,3,odd_Cys(free_thiol);motif_NG;homopolymer_run>=4
KPC3_106,37,-2.02,0.332,0.257,2.229,0,0.214,2,motif_DS;oxidation_prone(M/W)
KPC3_107,37,1.98,0.092,0.558,1.629,0,0.63,0,
KPC3_108,37,0.01,-0.073,0.39,1.3,0,0.326,1,homopolymer_run>=4
KPC3_109,37,-0.99,-0.316,0.38,1.471,0,0.317,2,N-term_Met(ox);oxidation_prone(M/W)
KPC3_110,34,-1.14,-0.335,0.629,0.443,1,0.5,4,odd_Cys(free_thiol);N-term_Met(ox);motif_DP;motif_NS
KPC3_111,34,2.97,-0.397,0.499,1.771,0,0.663,0,
KPC3_112,34,0.98,-0.015,0.497,1.957,0,0.496,0,
KPC3_113,34,1.86,-0.568,0.362,0.557,1,0.457,3,odd_Cys(free_thiol);motif_NG;motif_DS
KPC3_114,34,-1.14,0.582,0.346,1.8,1,0.288,3,odd_Cys(free_thiol);motif_NG;motif_DG
KPC3_115,34,0.86,0.029,0.267,1.286,1,0.295,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_116,34,-0.14,0.559,0.291,1.429,1,0.242,3,odd_Cys(free_thiol);N-term_Met(ox);oxidation_prone(M/W)
KPC3_117,34,0.86,-0.268,0.732,0.629,1,0.572,1,odd_Cys(free_thiol)
KPC3_118,34,-0.21,0.276,0.394,1.257,2,0.328,0,
KPC3_119,34,-3.02,-0.009,0.442,1.629,0,0.368,1,motif_DG
KPC3_120,40,-0.14,0.142,0.068,0.886,1,0.057,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_121,40,-2.14,-0.01,0.49,1.7,1,0.409,1,odd_Cys(free_thiol)
KPC3_122,40,0.01,-0.198,0.498,1.6,0,0.416,2,motif_NG;motif_DG
KPC3_123,40,3.97,-0.175,0.541,1.0,0,0.782,2,N-term_Met(ox);homopolymer_run>=4
KPC3_124,40,-2.02,-0.193,0.346,1.086,0,0.289,1,homopolymer_run>=4
KPC3_125,40,-1.99,0.122,0.347,1.057,0,0.289,2,motif_DG;oxidation_prone(M/W)
KPC3_126,40,1.97,-0.58,0.621,0.7,0,0.665,2,motif_NG;motif_DG
KPC3_127,40,0.3,0.733,0.406,2.243,6,0.364,2,6_Cys;motif_DG
KPC3_128,40,-1.14,0.823,0.219,2.343,1,0.182,5,odd_Cys(free_thiol);N-term_Met(ox);motif_NG;motif_DG;homopolymer_run>=4
KPC3_129,40,-1.99,0.012,0.646,1.371,0,0.5,0,
KPC3_130,18,-0.02,-0.044,0.499,1.329,0,0.416,0,
KPC3_131,18,-1.99,-0.661,0.407,-0.286,0,0.339,1,N-term_Met(ox)
KPC3_132,18,0.98,0.067,0.48,1.414,0,0.481,0,
KPC3_133,18,-1.99,-0.567,0.326,0.614,0,0.271,0,
KPC3_134,18,-2.02,-1.25,0.311,0.657,0,0.259,0,
KPC3_135,18,-0.02,0.628,0.069,1.029,0,0.057,1,homopolymer_run>=4
KPC3_136,18,-0.02,0.772,0.147,1.486,0,0.123,1,homopolymer_run>=4
KPC3_137,18,-0.99,0.178,0.597,1.029,0,0.498,0,
KPC3_138,18,-1.02,-0.4,0.403,0.971,0,0.336,0,
KPC3_139,18,-2.02,-0.1,0.27,2.371,0,0.225,0,
KPC3_140,34,-1.1,0.447,0.32,1.529,1,0.267,3,odd_Cys(free_thiol);N-term_Met(ox);motif_NS
KPC3_141,34,-1.99,0.559,0.469,2.0,0,0.39,0,
KPC3_142,34,-1.14,-0.524,0.308,1.814,1,0.257,1,odd_Cys(free_thiol)
KPC3_143,34,0.79,-0.576,0.524,1.271,2,0.503,0,
KPC3_144,34,3.98,0.061,0.639,1.257,0,0.831,1,oxidation_prone(M/W)
KPC3_145,34,-1.14,-0.024,0.187,0.729,1,0.156,1,odd_Cys(free_thiol)
KPC3_146,34,3.98,-0.497,0.958,1.129,0,0.831,2,motif_DG;homopolymer_run>=4
KPC3_147,34,-2.17,-0.341,0.543,0.471,2,0.452,1,motif_NG
KPC3_148,34,-1.99,-0.022,0.254,1.629,0,0.212,1,homopolymer_run>=4
KPC3_149,34,-0.02,-0.4,0.044,0.0,0,0.036,1,homopolymer_run>=4
KPC3_150,34,-1.21,0.653,0.303,1.857,2,0.253,1,N-term_Met(ox)
KPC3_151,34,2.97,-0.368,0.497,1.829,0,0.662,1,homopolymer_run>=4
KPC3_152,34,-0.99,-0.1,0.655,0.971,0,0.5,0,
KPC3_153,34,-1.14,0.903,0.198,2.214,1,0.165,3,odd_Cys(free_thiol);motif_NS;homopolymer_run>=4
KPC3_154,34,-0.25,0.082,0.282,0.743,2,0.235,2,motif_DP;homopolymer_run>=4
KPC3_155,34,-2.02,1.041,0.243,2.457,0,0.202,1,motif_DG
KPC3_156,34,-2.03,-0.553,0.341,1.314,0,0.284,1,motif_DP
KPC3_157,34,-0.02,0.155,0.321,1.071,0,0.268,0,
KPC3_158,34,0.05,-0.147,0.284,1.057,0,0.241,2,N-term_Met(ox);homopolymer_run>=4
KPC3_159,34,-0.03,0.062,0.503,0.886,0,0.419,0,
KPC3_160,31,-0.02,0.03,0.171,1.0,0,0.142,2,motif_NG;homopolymer_run>=4
KPC3_161,31,1.01,-0.526,0.49,0.371,0,0.492,0,
KPC3_162,31,-1.99,-0.732,0.433,0.514,0,0.361,3,motif_DG;motif_NS;homopolymer_run>=4
KPC3_163,31,1.86,-0.171,0.435,1.243,1,0.518,2,odd_Cys(free_thiol);N-term_Met(ox)
KPC3_164,31,-4.02,0.287,0.273,1.457,0,0.228,3,N-term_Q/E(pyroglutamate);motif_DG;motif_DS
KPC3_165,31,2.98,-0.094,0.622,1.9,0,0.748,0,
KPC3_166,31,-2.02,-0.071,0.52,2.3,0,0.433,2,N-term_Met(ox);homopolymer_run>=4
KPC3_167,31,-0.21,-0.429,0.509,0.657,2,0.424,0,
KPC3_168,31,-4.02,-0.232,0.391,0.871,0,0.326,0,
KPC3_169,31,-1.02,0.081,0.241,1.471,0,0.201,2,motif_DG;homopolymer_run>=4
KPC3_170,27,-1.14,0.592,0.295,2.186,1,0.245,2,odd_Cys(free_thiol);oxidation_prone(M/W)
KPC3_171,27,-2.02,-0.63,0.606,0.986,0,0.5,1,motif_NG
KPC3_172,27,-2.02,0.159,0.185,2.014,0,0.154,1,motif_DS
KPC3_173,27,-0.02,0.326,0.058,1.5,0,0.048,1,homopolymer_run>=4
KPC3_174,27,-1.02,-0.781,0.34,-0.2,0,0.283,1,motif_NG
KPC3_175,27,-2.25,0.211,0.242,1.4,2,0.202,1,motif_DG
KPC3_176,27,-3.03,-0.122,0.194,0.729,0,0.162,1,homopolymer_run>=4
KPC3_177,27,-0.14,1.33,0.155,2.457,1,0.129,4,odd_Cys(free_thiol);N-term_Met(ox);homopolymer_run>=4;oxidation_prone(M/W)
KPC3_178,27,-1.02,1.359,0.151,1.8,0,0.126,1,homopolymer_run>=4
KPC3_179,27,-3.95,-0.604,0.321,0.314,0,0.267,0,
KPC3_180,44,-2.58,0.389,0.244,2.55,5,0.203,2,odd_Cys(free_thiol);5_Cys
KPC3_181,44,2.79,-0.232,0.469,0.743,2,0.623,4,motif_NG;motif_DP;motif_NS;oxidation_prone(M/W)
KPC3_182,44,-1.21,0.291,0.34,1.814,2,0.283,2,N-term_Met(ox);homopolymer_run>=4
KPC3_183,44,-3.14,0.198,0.582,1.914,1,0.485,1,odd_Cys(free_thiol)
KPC3_184,44,1.98,0.398,0.367,3.114,0,0.471,1,motif_DG
KPC3_185,44,-5.13,-0.388,0.294,0.829,2,0.245,4,motif_NG;motif_DG;motif_DS;homopolymer_run>=4
KPC3_186,44,1.94,-0.17,0.581,1.429,1,0.646,1,odd_Cys(free_thiol)
KPC3_187,44,-1.1,-1.245,0.472,0.514,1,0.393,3,odd_Cys(free_thiol);motif_NG;motif_DG
KPC3_188,44,-0.14,0.072,0.442,1.9,1,0.369,1,odd_Cys(free_thiol)
KPC3_189,44,-1.14,0.077,0.314,1.443,1,0.262,2,odd_Cys(free_thiol);motif_DS
KPC3_190,26,-0.14,0.312,0.512,1.386,1,0.427,1,odd_Cys(free_thiol)
KPC3_191,26,-3.14,1.027,0.376,3.057,1,0.314,2,odd_Cys(free_thiol);motif_DG
KPC3_192,26,-1.99,-0.169,0.37,1.943,0,0.308,2,motif_DG;motif_DP
KPC3_193,26,1.97,0.669,0.364,2.657,0,0.468,1,motif_NG
KPC3_194,26,-5.02,-0.0,0.361,1.133,0,0.301,5,N-term_Met(ox);motif_DG;motif_DP;homopolymer_run>=4;oxidation_prone(M/W)
KPC3_195,26,-0.02,0.244,0.106,1.25,0,0.088,0,
KPC3_196,26,0.97,-0.038,0.506,0.929,0,0.502,1,homopolymer_run>=4
KPC3_197,26,0.94,0.108,0.288,0.657,1,0.318,2,odd_Cys(free_thiol);oxidation_prone(M/W)
KPC3_198,26,-1.1,1.465,0.337,2.3,1,0.281,2,odd_Cys(free_thiol);N-term_Met(ox)
KPC3_199,26,-3.02,-0.108,0.421,0.971,0,0.351,1,motif_NG
KPC3_200,37,-0.36,0.897,0.171,2.286,3,0.143,3,odd_Cys(free_thiol);3_Cys;homopolymer_run>=4
KPC3_201,37,1.79,0.173,0.556,1.957,2,0.612,0,
KPC3_202,37,0.97,-1.046,0.738,0.257,0,0.581,1,motif_DG
KPC3_203,37,-0.02,0.695,0.098,1.8,0,0.081,1,homopolymer_run>=4
KPC3_204,37,2.97,-0.108,0.491,1.186,0,0.657,0,
KPC3_205,37,-1.02,0.254,0.387,1.267,0,0.322,1,motif_DP
KPC3_206,37,-0.36,0.976,0.229,1.9,3,0.191,4,odd_Cys(free_thiol);3_Cys;N-term_Met(ox);homopolymer_run>=4
KPC3_207,37,-4.02,-0.749,0.308,1.529,0,0.256,0,
KPC3_208,37,0.64,0.804,0.243,2.033,3,0.256,3,odd_Cys(free_thiol);3_Cys;homopolymer_run>=4
KPC3_209,37,-0.14,0.068,0.4,1.0,1,0.333,1,odd_Cys(free_thiol)
KPC3_210,30,1.75,0.457,0.757,1.671,2,0.646,0,
KPC3_211,30,0.9,-0.79,0.37,0.286,1,0.384,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_212,30,-0.95,-0.523,0.841,0.643,0,0.5,1,homopolymer_run>=4
KPC3_213,30,-0.25,-0.68,0.6,0.9,2,0.5,1,motif_DG
KPC3_214,30,0.86,-0.13,0.385,1.686,1,0.393,1,odd_Cys(free_thiol)
KPC3_215,30,-0.1,0.993,0.156,2.271,1,0.13,1,odd_Cys(free_thiol)
KPC3_216,30,-2.14,0.097,0.36,1.771,1,0.3,1,odd_Cys(free_thiol)
KPC3_217,30,-2.02,1.103,0.183,2.857,0,0.153,0,
KPC3_218,30,-2.02,0.377,0.556,1.8,0,0.463,1,motif_DS
KPC3_219,30,-2.02,0.79,0.548,2.414,0,0.456,0,
KPC3_220,45,-5.02,0.829,0.296,2.271,0,0.247,0,
KPC3_221,45,-3.36,-0.0,0.425,0.829,3,0.354,3,odd_Cys(free_thiol);3_Cys;homopolymer_run>=4
KPC3_222,45,-5.02,-0.613,0.432,0.886,0,0.36,1,oxidation_prone(M/W)
KPC3_223,45,2.97,0.398,0.339,1.9,0,0.53,0,
KPC3_224,45,-0.14,0.25,0.056,2.5,1,0.047,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_225,45,-0.14,0.585,0.211,4.2,1,0.176,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_226,45,0.01,-0.224,0.281,1.229,0,0.235,0,
KPC3_227,45,0.75,-0.196,0.564,1.4,2,0.532,1,motif_NG
KPC3_228,45,-0.14,-0.04,0.362,1.086,1,0.302,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_229,45,-2.95,0.164,0.412,2.1,0,0.343,0,
KPC3_230,28,2.97,-0.814,0.723,0.386,0,0.747,0,
KPC3_231,28,-1.13,-0.546,0.373,0.557,1,0.311,4,odd_Cys(free_thiol);N-term_Met(ox);motif_DP;oxidation_prone(M/W)
KPC3_232,28,-0.02,0.814,0.205,1.486,0,0.171,1,homopolymer_run>=4
KPC3_233,28,0.86,1.086,0.329,2.4,1,0.346,2,odd_Cys(free_thiol);N-term_Met(ox)
KPC3_234,28,-0.1,0.352,0.174,1.214,1,0.145,1,odd_Cys(free_thiol)
KPC3_235,28,-0.03,0.318,0.236,1.486,0,0.196,1,homopolymer_run>=4
KPC3_236,28,-2.14,-0.068,0.463,0.543,1,0.386,1,odd_Cys(free_thiol)
KPC3_237,28,-0.14,0.485,0.151,1.457,1,0.126,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_238,28,1.98,-0.85,0.438,1.743,0,0.53,0,
KPC3_239,28,0.97,-0.146,0.642,1.371,0,0.581,1,homopolymer_run>=4
KPC3_240,29,2.97,-0.441,0.468,2.243,0,0.638,1,motif_DP
KPC3_241,29,-2.14,-0.038,0.434,1.043,1,0.361,2,odd_Cys(free_thiol);motif_DG
KPC3_242,29,-3.02,-0.1,0.403,1.329,0,0.336,2,motif_NG;motif_DG
KPC3_243,29,-0.99,-0.314,0.505,0.086,0,0.421,0,
KPC3_244,29,-1.14,0.172,0.278,0.814,1,0.232,2,odd_Cys(free_thiol);motif_DG
KPC3_245,29,-0.36,-0.258,0.273,1.714,3,0.228,3,odd_Cys(free_thiol);3_Cys;N-term_Q/E(pyroglutamate)
KPC3_246,29,-0.03,-0.321,0.42,0.857,0,0.35,2,motif_DS;homopolymer_run>=4
KPC3_247,29,1.9,0.721,0.311,2.814,1,0.418,1,odd_Cys(free_thiol)
KPC3_248,29,-2.14,0.069,0.296,1.586,1,0.246,1,odd_Cys(free_thiol)
KPC3_249,29,-3.02,-1.069,0.357,1.2,0,0.298,1,N-term_Q/E(pyroglutamate)
KPC3_250,39,-4.36,-0.413,0.247,0.657,3,0.205,3,odd_Cys(free_thiol);3_Cys;motif_DG
KPC3_251,39,-6.03,-0.921,0.526,-0.229,0,0.438,3,N-term_Met(ox);motif_DG;homopolymer_run>=4
KPC3_252,39,-2.1,-0.131,0.395,1.071,1,0.329,3,odd_Cys(free_thiol);motif_DG;motif_DP
KPC3_253,39,-0.99,-0.864,0.525,0.943,0,0.438,2,N-term_Met(ox);motif_DP
KPC3_254,39,-1.43,-0.59,0.497,1.886,4,0.414,1,4_Cys
KPC3_255,39,-4.14,0.049,0.49,1.7,1,0.408,2,odd_Cys(free_thiol);motif_DG
KPC3_256,39,-0.43,0.51,0.274,1.757,4,0.228,1,4_Cys
KPC3_257,39,0.86,0.874,0.4,2.8,1,0.405,1,odd_Cys(free_thiol)
KPC3_258,39,-4.13,-0.418,0.399,1.429,1,0.332,2,odd_Cys(free_thiol);motif_DG
KPC3_259,39,-1.32,0.323,0.319,2.329,3,0.266,2,odd_Cys(free_thiol);3_Cys
KPC3_260,27,-1.03,-0.063,0.206,0.686,0,0.171,1,motif_DG
KPC3_261,27,-1.25,-0.763,0.218,0.986,2,0.182,5,motif_NG;motif_DP;motif_DS;motif_NS;homopolymer_run>=4
KPC3_262,27,1.98,-0.022,0.414,2.229,0,0.509,1,motif_DG
KPC3_263,27,2.9,-0.837,0.523,0.029,1,0.678,1,odd_Cys(free_thiol)
KPC3_264,27,-1.02,0.281,0.307,1.543,0,0.256,0,
KPC3_265,27,-0.02,-0.667,0.454,0.514,0,0.379,1,N-term_Q/E(pyroglutamate)
KPC3_266,27,-3.14,0.596,0.278,2.171,1,0.232,2,odd_Cys(free_thiol);motif_DG
KPC3_267,27,-1.98,-0.641,0.627,1.0,0,0.5,1,motif_DG
KPC3_268,27,0.86,0.341,0.495,2.071,1,0.484,2,odd_Cys(free_thiol);N-term_Q/E(pyroglutamate)
KPC3_269,27,1.01,-0.089,0.383,1.343,0,0.403,0,
KPC3_270,26,0.05,-0.8,0.254,0.143,0,0.216,1,motif_DG
KPC3_271,26,-1.25,0.365,0.277,1.586,2,0.23,0,
KPC3_272,26,0.9,-0.308,0.24,1.1,1,0.275,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_273,26,-0.14,0.919,0.088,1.586,1,0.074,1,odd_Cys(free_thiol)
KPC3_274,26,-0.02,0.908,0.092,1.829,0,0.077,1,homopolymer_run>=4
KPC3_275,26,0.86,0.477,0.316,2.343,1,0.335,1,odd_Cys(free_thiol)
KPC3_276,26,-0.91,-0.05,0.435,0.786,0,0.362,1,homopolymer_run>=4
KPC3_277,26,1.97,-0.054,0.294,0.5,0,0.41,0,
KPC3_278,26,-1.25,0.238,0.267,2.0,2,0.222,2,motif_DG;homopolymer_run>=4
KPC3_279,26,-0.02,-0.531,0.399,0.029,0,0.332,1,homopolymer_run>=4
KPC3_280,13,-2.03,-0.938,0.211,-0.771,0,0.175,1,motif_NG
KPC3_281,13,0.97,0.492,0.176,1.086,0,0.228,0,
KPC3_282,13,-0.02,1.262,0.069,1.8,0,0.057,1,homopolymer_run>=4
KPC3_283,13,-0.14,0.685,0.052,1.1,1,0.044,2,odd_Cys(free_thiol);homopolymer_run>=4
KPC3_284,13,-0.02,-0.154,0.082,-0.029,0,0.069,0,
KPC3_285,13,1.01,-0.362,0.343,0.457,0,0.37,0,
KPC3_286,13,-0.02,-0.669,0.214,0.686,0,0.178,0,
KPC3_287,13,2.86,-0.377,0.425,0.471,1,0.592,1,odd_Cys(free_thiol)
KPC3_288,13,-1.02,0.238,0.15,1.129,0,0.125,0,
KPC3_289,13,-0.02,-0.515,0.104,0.171,0,0.087,2,N-term_Q/E(pyroglutamate);homopolymer_run>=4
KPC3_290,45,-5.14,-0.3,0.292,1.0,1,0.243,5,odd_Cys(free_thiol);motif_DG;motif_DS;homopolymer_run>=4;oxidation_prone(M/W)
KPC3_291,45,-3.17,-0.619,0.341,1.243,2,0.284,2,motif_DG;oxidation_prone(M/W)
KPC3_292,45,-1.36,0.443,0.173,1.333,3,0.144,3,odd_Cys(free_thiol);3_Cys;homopolymer_run>=4
