design_id,binder_len,n_interface,n_epitope_hit,epitope_recall,interface_precision,n_catalytic_contacts,catalytic_ok,contacted_epitope,target_chain,status
KPC3_160_1,31,35,15,0.833,0.429,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_163_0,31,32,14,0.778,0.438,3,True,68|69|72|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_170_0,27,34,12,0.667,0.353,2,True,69|103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_170_1,27,29,15,0.833,0.517,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_173_1,27,28,12,0.667,0.429,3,True,69|72|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_180_0,44,37,15,0.833,0.405,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_198_1,26,20,9,0.5,0.45,1,True,103|104|129|131|165|166|169|236|237,A,ok
KPC3_200_0,37,39,11,0.611,0.282,2,True,69|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_200_1,37,33,15,0.833,0.455,3,True,69|103|104|129|131|165|166|169|215|219|233|234|236|237|272,A,ok
KPC3_201_0,37,34,16,0.889,0.471,3,True,69|72|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_204,37,33,16,0.889,0.485,2,True,68|69|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_204_0,37,25,2,0.111,0.08,1,True,165|166,A,ok
KPC3_204_1,37,29,1,0.056,0.034,0,False,272,A,ok
KPC3_215_0,30,26,8,0.444,0.308,1,True,103|104|165|166|219|236|237|272,A,ok
KPC3_215_1,30,29,10,0.556,0.345,2,True,69|103|104|131|165|166|169|236|237|272,A,ok
KPC3_217_1,30,24,8,0.444,0.333,1,True,103|104|165|166|215|236|237|272,A,ok
KPC3_230,28,24,9,0.5,0.375,2,True,69|103|131|165|166|169|236|237|272,A,ok
KPC3_232_1,28,25,11,0.611,0.44,1,True,103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_234,27,28,17,0.944,0.607,3,True,68|69|72|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_234_0,28,35,10,0.556,0.286,2,True,69|104|129|131|165|166|169|215|236|237,A,ok
KPC3_234_1,28,35,16,0.889,0.457,3,True,69|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_237_0,28,31,14,0.778,0.452,3,True,69|72|103|104|129|131|165|166|215|219|234|235|236|272,A,ok
KPC3_245_1,29,29,11,0.611,0.379,2,True,69|104|129|131|165|166|169|215|234|236|237,A,ok
KPC3_247,29,39,17,0.944,0.436,3,True,68|69|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_260,27,34,13,0.722,0.382,1,True,103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_263,27,24,12,0.667,0.5,3,True,69|72|103|104|131|165|166|169|215|236|237|272,A,ok
KPC3_273_0,26,27,11,0.611,0.407,2,True,69|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_273_1,26,24,13,0.722,0.542,2,True,69|103|104|129|131|165|166|169|215|219|234|236|237,A,ok
KPC3_274,26,21,3,0.167,0.143,1,True,103|165|166,A,ok
KPC3_274_0,26,30,12,0.667,0.4,2,True,69|104|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_277,26,35,15,0.833,0.429,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_278,26,37,11,0.611,0.297,2,True,69|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_292_0,45,38,3,0.167,0.079,1,True,103|165|166,A,ok
KPC3_299_0,45,28,0,0.0,0.0,0,False,,A,ok
KPC3_300_0,28,31,14,0.778,0.452,3,True,69|72|103|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_300_1,28,34,15,0.833,0.441,3,True,69|103|104|129|131|165|166|169|215|233|234|235|236|237|272,A,ok
KPC3_306,28,13,2,0.111,0.154,0,False,103|166,A,ok
KPC3_316_1,42,38,12,0.667,0.316,1,True,69|103|104|129|131|166|169|215|219|234|236|272,A,ok
KPC3_330_0,37,38,13,0.722,0.342,3,True,69|72|103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_333,36,32,17,0.944,0.531,4,True,69|72|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_354,36,33,11,0.611,0.333,1,True,103|104|165|166|169|215|219|234|236|237|272,A,ok
KPC3_357,36,42,3,0.167,0.071,1,True,103|165|166,A,ok
KPC3_360,30,40,14,0.778,0.35,3,True,69|72|103|104|129|131|165|166|169|215|234|236|237|272,A,ok
KPC3_369_1,30,32,5,0.278,0.156,1,True,103|165|166|169|237,A,ok
KPC3_373_0,43,44,15,0.833,0.341,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_378,43,23,0,0.0,0.0,0,False,,A,ok
KPC3_378_0,43,42,13,0.722,0.31,3,True,69|72|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_384_0,20,28,8,0.444,0.286,1,True,103|104|131|165|166|219|236|272,A,ok
KPC3_384_1,20,25,15,0.833,0.6,3,True,69|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_391_0,29,29,5,0.278,0.172,1,True,103|104|131|165|166,A,ok
KPC3_399_0,29,29,11,0.611,0.379,2,True,69|104|129|165|166|215|219|234|236|237|272,A,ok
KPC3_407,25,33,16,0.889,0.485,3,True,69|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_414_0,23,31,16,0.889,0.516,3,True,68|69|72|103|104|129|131|165|166|169|215|234|235|236|237|272,A,ok
KPC3_419_0,23,15,3,0.167,0.2,1,True,103|165|166,A,ok
KPC3_421,28,30,15,0.833,0.5,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_421_0,28,38,15,0.833,0.395,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_421_1,28,32,15,0.833,0.469,4,True,69|72|103|104|129|131|165|166|169|215|233|234|236|237|272,A,ok
KPC3_423,28,28,14,0.778,0.5,2,True,69|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_423_1,28,40,15,0.833,0.375,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_425_0,28,30,13,0.722,0.433,2,True,69|103|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_425_1,28,25,8,0.444,0.32,0,False,104|169|215|219|234|236|237|272,A,ok
KPC3_428,28,33,12,0.667,0.364,2,True,69|103|104|129|131|165|166|169|215|219|236|272,A,ok
KPC3_430,22,25,11,0.611,0.44,1,True,103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_430_0,22,23,2,0.111,0.087,1,True,165|166,A,ok
KPC3_435_1,22,23,12,0.667,0.522,3,True,69|72|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_445_0,42,34,14,0.778,0.412,2,True,69|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_445_1,42,39,15,0.833,0.385,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_457_0,29,35,5,0.278,0.143,1,True,103|104|131|165|166,A,ok
KPC3_457_1,29,29,14,0.778,0.483,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|272,A,ok
KPC3_467_0,14,24,15,0.833,0.625,3,True,69|72|103|104|129|131|165|166|169|215|219|234|235|236|272,A,ok
KPC3_467_1,14,18,11,0.611,0.611,2,True,69|103|104|129|131|165|166|219|234|236|272,A,ok
KPC3_474,15,25,15,0.833,0.6,3,True,69|103|104|129|131|165|166|169|215|233|234|235|236|237|272,A,ok
KPC3_481,38,28,2,0.111,0.071,1,True,165|166,A,ok
KPC3_482,38,34,15,0.833,0.441,3,True,68|69|72|103|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_482_0,38,37,13,0.722,0.351,2,True,69|103|104|129|131|165|166|169|215|234|236|237|272,A,ok
KPC3_488_1,38,40,12,0.667,0.3,2,True,69|103|104|131|165|166|169|215|219|236|237|272,A,ok
KPC3_491_0,15,19,12,0.667,0.632,2,True,69|103|104|129|131|165|166|215|219|234|236|272,A,ok
KPC3_491_1,15,21,12,0.667,0.571,2,True,69|104|129|131|165|166|215|219|234|236|237|272,A,ok
KPC3_501_1,36,45,14,0.778,0.311,3,True,68|69|72|103|104|129|131|165|166|169|219|236|237|272,A,ok
KPC3_502,36,23,2,0.111,0.087,1,True,165|166,A,ok
KPC3_517,24,34,15,0.833,0.441,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_517_0,24,33,11,0.611,0.333,2,True,69|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_518,24,38,13,0.722,0.342,3,True,69|72|103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_522,30,30,14,0.778,0.467,2,True,69|103|104|129|131|165|166|169|215|234|235|236|237|272,A,ok
KPC3_535_1,39,38,16,0.889,0.421,3,True,69|72|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_539_1,39,43,13,0.722,0.302,3,True,69|103|104|129|165|166|169|215|233|234|235|236|237,A,ok
KPC3_546,22,30,12,0.667,0.4,3,True,69|103|104|129|165|166|215|233|234|235|236|272,A,ok
KPC3_550,17,21,11,0.611,0.524,2,True,69|103|104|165|166|169|215|219|236|237|272,A,ok
KPC3_554,17,26,13,0.722,0.5,3,True,69|72|103|104|129|131|165|166|169|215|219|236|272,A,ok
KPC3_555,17,12,2,0.111,0.167,1,True,103|165,A,ok
KPC3_556,17,28,9,0.5,0.321,0,False,103|104|166|169|215|219|236|237|272,A,ok
KPC3_559,17,30,16,0.889,0.533,3,True,69|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_562,23,26,11,0.611,0.423,1,True,104|129|131|165|166|169|215|219|234|236|237,A,ok
KPC3_568_0,24,24,9,0.5,0.375,3,True,69|72|104|129|131|165|166|169|236,A,ok
KPC3_573_0,22,31,15,0.833,0.484,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_574,22,13,3,0.167,0.231,1,True,103|165|166,A,ok
KPC3_586_1,27,28,16,0.889,0.571,4,True,69|72|103|104|129|131|165|166|169|215|219|233|234|235|236|237,A,ok
KPC3_590_0,30,33,5,0.278,0.152,1,True,103|165|166|237|272,A,ok
KPC3_601_0,20,20,12,0.667,0.6,2,True,69|103|104|131|165|166|169|215|219|236|237|272,A,ok
KPC3_602,20,21,14,0.778,0.667,2,True,69|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_615,26,30,14,0.778,0.467,3,True,69|72|103|104|129|131|165|166|169|215|219|236|237|272,A,ok
KPC3_623,25,24,10,0.556,0.417,1,True,103|104|129|131|165|166|215|236|237|272,A,ok
KPC3_627,25,28,13,0.722,0.464,2,True,68|69|104|129|165|166|169|215|219|234|235|236|237,A,ok
KPC3_631_1,41,33,3,0.167,0.091,1,True,103|165|166,A,ok
KPC3_636_1,41,44,15,0.833,0.341,3,True,69|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_638,41,20,3,0.167,0.15,1,True,103|165|166,A,ok
KPC3_650_0,36,32,12,0.667,0.375,1,True,103|104|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_650_1,36,27,10,0.556,0.37,1,True,103|104|131|165|166|215|219|236|237|272,A,ok
KPC3_656_0,36,30,13,0.722,0.433,2,True,69|103|104|129|131|165|166|215|219|234|236|237|272,A,ok
KPC3_656_1,36,36,15,0.833,0.417,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_657,36,44,2,0.111,0.045,1,True,165|166,A,ok
KPC3_658,36,25,4,0.222,0.16,1,True,103|104|165|166,A,ok
KPC3_661_0,22,26,15,0.833,0.577,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_662,22,37,17,0.944,0.459,4,True,69|72|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_671_1,25,20,1,0.056,0.05,0,False,104,A,ok
KPC3_690_0,13,19,13,0.722,0.684,2,True,69|104|129|131|165|166|169|215|219|234|235|236|272,A,ok
KPC3_697_1,13,20,11,0.611,0.55,3,True,69|72|104|129|131|165|166|169|215|236|237,A,ok
KPC3_713,39,18,5,0.278,0.278,1,True,103|165|166|169|237,A,ok
KPC3_714,39,48,9,0.5,0.188,2,True,69|104|129|165|166|215|219|236|272,A,ok
KPC3_714_0,39,47,15,0.833,0.319,3,True,69|72|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_727_1,42,40,15,0.833,0.375,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_731,31,20,0,0.0,0.0,0,False,,A,ok
KPC3_731_0,31,17,9,0.5,0.529,1,True,69|103|104|129|131|166|219|236|272,A,ok
KPC3_734_0,31,28,13,0.722,0.464,1,True,69|103|104|129|131|166|169|215|219|234|236|237|272,A,ok
KPC3_735,31,27,13,0.722,0.481,2,True,69|103|104|129|131|165|166|169|215|235|236|237|272,A,ok
KPC3_742,33,30,15,0.833,0.5,2,True,68|69|103|104|129|131|165|166|169|215|219|234|235|236|237,A,ok
KPC3_745,33,17,8,0.444,0.471,0,False,103|104|129|166|215|234|236|272,A,ok
KPC3_753_0,13,19,12,0.667,0.632,2,True,69|104|129|131|165|166|169|215|219|234|236|237,A,ok
KPC3_753_1,13,19,10,0.556,0.526,1,True,69|104|129|131|166|169|215|236|237|272,A,ok
KPC3_758_0,13,15,11,0.611,0.733,1,True,69|103|104|129|131|166|169|215|219|236|272,A,ok
KPC3_758_1,13,19,14,0.778,0.737,3,True,69|104|129|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_769_1,13,21,11,0.611,0.524,2,True,69|103|104|129|131|165|166|169|215|236|237,A,ok
KPC3_781_0,12,18,8,0.444,0.444,0,False,104|129|166|169|215|234|236|237,A,ok
KPC3_803,36,27,13,0.722,0.481,3,True,69|72|103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_808,36,33,11,0.611,0.333,1,True,103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_808_0,36,34,13,0.722,0.382,3,True,69|72|103|104|129|131|165|166|169|215|236|237|272,A,ok
KPC3_808_1,36,38,17,0.944,0.447,4,True,69|72|103|104|129|131|165|166|169|215|219|233|234|235|236|237|272,A,ok
KPC3_809,36,29,15,0.833,0.517,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_818_1,17,17,0,0.0,0.0,0,False,,A,ok
KPC3_825,24,16,0,0.0,0.0,0,False,,A,ok
KPC3_836_0,42,37,14,0.778,0.378,2,True,69|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_836_1,42,36,15,0.833,0.417,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_851,19,24,12,0.667,0.5,2,True,68|69|103|104|129|131|165|166|169|235|236|237,A,ok
KPC3_862_0,16,23,15,0.833,0.652,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_870,27,29,2,0.111,0.069,1,True,165|166,A,ok
KPC3_876,27,26,11,0.611,0.423,1,True,103|104|131|165|166|169|215|219|236|237|272,A,ok
KPC3_898_0,16,18,10,0.556,0.556,2,True,69|104|129|131|165|166|169|215|236|237,A,ok
KPC3_901,34,31,12,0.667,0.387,1,True,68|104|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_910_0,17,25,13,0.722,0.52,3,True,69|72|104|129|131|165|166|169|215|234|236|237|272,A,ok
KPC3_924,27,26,14,0.778,0.538,2,True,69|103|104|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_928_0,27,27,14,0.778,0.519,2,True,69|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_933_0,21,25,14,0.778,0.56,2,True,69|103|104|129|131|165|166|169|215|219|234|236|237|272,A,ok
KPC3_960,33,16,3,0.167,0.188,1,True,103|165|166,A,ok
KPC3_961,33,35,14,0.778,0.4,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237,A,ok
KPC3_964_0,33,33,14,0.778,0.424,3,True,69|72|103|104|129|131|165|166|169|215|219|234|236|237,A,ok
KPC3_969_0,33,33,16,0.889,0.485,3,True,69|72|103|104|129|131|165|166|169|215|219|234|235|236|237|272,A,ok
KPC3_970,40,36,10,0.556,0.278,1,True,103|104|131|165|166|169|215|236|237|272,A,ok
KPC3_980,31,25,8,0.444,0.32,1,True,103|104|165|166|169|236|237|272,A,ok
KPC3_991_0,22,24,12,0.667,0.5,1,True,69|103|104|129|131|166|169|215|219|236|237|272,A,ok
KPC3_994,22,25,10,0.556,0.4,1,True,103|104|165|166|215|219|234|236|237|272,A,ok
KPC3_994_0,22,31,2,0.111,0.065,1,True,165|166,A,ok
config_KPC3_147,37,36,0,0.0,0.0,0,False,,A,ok
config_KPC3_342,20,27,14,0.778,0.519,3,True,69|72|103|104|129|131|165|166|169|215|219|236|237|272,A,ok
config_KPC3_382,26,31,14,0.778,0.452,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237,A,ok
config_KPC3_388,26,37,8,0.444,0.216,1,True,103|104|131|165|166|236|237|272,A,ok
config_KPC3_502,28,28,8,0.444,0.286,1,True,104|165|166|215|219|236|237|272,A,ok
config_KPC3_505,28,35,15,0.833,0.429,3,True,68|69|72|103|104|129|131|165|166|169|215|219|234|236|237,A,ok
config_KPC3_508,28,30,14,0.778,0.467,2,True,69|103|104|129|131|165|166|169|215|219|234|235|236|237,A,ok
config_KPC3_562,14,13,1,0.056,0.077,1,True,165,A,ok
config_KPC3_580,41,39,13,0.722,0.333,2,True,69|103|104|131|165|166|169|215|219|234|236|237|272,A,ok
config_KPC3_582_2,41,33,2,0.111,0.061,1,True,165|166,A,ok
config_KPC3_605,35,29,2,0.111,0.069,1,True,165|166,A,ok
config_KPC3_680,29,37,2,0.111,0.054,1,True,165|166,A,ok
config_KPC3_740,19,16,3,0.167,0.188,1,True,103|165|166,A,ok
config_KPC3_802,16,17,3,0.167,0.176,1,True,103|165|166,A,ok
config_KPC3_809,16,24,13,0.722,0.542,3,True,69|72|103|104|131|165|166|169|215|219|234|236|272,A,ok
config_KPC3_829,14,18,10,0.556,0.556,2,True,69|103|104|131|165|166|169|215|236|237,A,ok
config_KPC3_908,35,44,9,0.5,0.205,1,True,103|104|165|166|169|215|236|237|272,A,ok
