design_id,ipSAE_min,ipSAE_max,ipSAE_d0chn,ipSAE_d0dom,ipTM_af,pDockQ,pDockQ2,LIS,status
NDM5_2160,0.065312,0.308538,0.529913,0.521931,0.632,0.232,0.0753,0.2809,ok
NDM5_2164,0.0,0.0,0.0,0.0,0.342,0.1966,0.0162,0.0062,ok
NDM5_2254,0.0,0.0,0.0,0.0,0.362,0.3637,0.0158,0.022,ok
NDM5_2348,0.0,0.0,0.0,0.0,0.323,0.1241,0.0166,0.0084,ok
NDM5_2379,0.012421,0.014327,0.327718,0.288208,0.454,0.2181,0.0258,0.1131,ok
NDM5_244_0,0.014065,0.021591,0.402658,0.391224,0.696,0.1555,0.0664,0.2281,ok
NDM5_244_1,0.01211,0.014253,0.306376,0.275817,0.537,0.2148,0.041,0.1272,ok
NDM5_2493,0.0,0.0,0.0,0.0,0.267,0.2281,0.0153,0.0026,ok
NDM5_2495,0.0,0.010753,0.27153,0.010753,0.371,0.2233,0.0159,0.0457,ok
NDM5_2496,0.0,0.0,0.0,0.0,0.33,0.3049,0.0158,0.0,ok
NDM5_2497,0.0,0.012456,0.30194,0.123692,0.36,0.1714,0.0237,0.0679,ok
NDM5_2499,0.0,0.010745,0.271395,0.010745,0.353,0.1302,0.0204,0.046,ok
NDM5_2525,0.0,0.011075,0.274778,0.011075,0.419,0.2337,0.0215,0.0482,ok
NDM5_2527,0.043144,0.203517,0.372573,0.341211,0.656,0.1935,0.0458,0.2106,ok
NDM5_2582,0.011948,0.011977,0.293635,0.028598,0.436,0.2203,0.0198,0.0662,ok
NDM5_2586,0.0,0.0,0.0,0.0,0.426,0.2748,0.0202,0.0316,ok
NDM5_2612,0.0,0.0,0.0,0.0,0.264,0.0944,0.0125,0.0,ok
NDM5_2617,0.016106,0.071443,0.345042,0.318465,0.584,0.2438,0.0409,0.1654,ok
NDM5_2619,0.0,0.012295,0.287572,0.191327,0.421,0.1266,0.0268,0.0633,ok
NDM5_2645,0.080667,0.268201,0.497625,0.488516,0.672,0.2031,0.1162,0.2863,ok
NDM5_266_0,0.137718,0.684315,0.732715,0.73157,0.822,0.3038,0.1438,0.5409,ok
NDM5_3001,0.02036,0.197474,0.392902,0.387596,0.699,0.1934,0.0686,0.2439,ok
NDM5_303_1,0.01267,0.014169,0.320604,0.219028,0.446,0.3149,0.0222,0.1158,ok
NDM5_306_1,0.015857,0.094494,0.333241,0.299087,0.592,0.1448,0.0341,0.1646,ok
NDM5_3157,0.103555,0.540333,0.723483,0.723483,0.798,0.1478,0.2101,0.499,ok
NDM5_3184,0.0,0.011347,0.271972,0.011347,0.374,0.1066,0.023,0.044,ok
NDM5_3210,0.057167,0.187816,0.413641,0.409691,0.604,0.2625,0.0411,0.2093,ok
NDM5_3214,0.0,0.013358,0.314072,0.071308,0.457,0.173,0.0243,0.08,ok
NDM5_3305,0.0,0.0,0.0,0.0,0.222,0.0905,0.0131,0.0,ok
NDM5_3331,0.011605,0.013567,0.303213,0.23312,0.497,0.1335,0.0228,0.0939,ok
NDM5_3451,0.0,0.013198,0.305049,0.04763,0.431,0.2506,0.0325,0.0728,ok
NDM5_3455,0.017877,0.129982,0.372761,0.344962,0.625,0.344,0.0472,0.1874,ok
NDM5_3484,0.0,0.0,0.0,0.0,0.331,0.1372,0.0156,0.0204,ok
NDM5_3513,0.0,0.011956,0.293133,0.110825,0.397,0.1402,0.0241,0.0596,ok
NDM5_3514,0.011018,0.011462,0.28425,0.011462,0.421,0.3138,0.026,0.0614,ok
NDM5_3515,0.0,0.0,0.0,0.0,0.408,0.2996,0.0195,0.0443,ok
NDM5_3518,0.037177,0.098015,0.360478,0.338714,0.596,0.2173,0.0427,0.1818,ok
NDM5_3519,0.0,0.0,0.0,0.0,0.374,0.087,0.0212,0.0305,ok
NDM5_3577,0.0,0.0,0.0,0.0,0.387,0.1105,0.0152,0.0191,ok
NDM5_3632,0.011846,0.012599,0.290706,0.236419,0.511,0.1585,0.029,0.094,ok
NDM5_3637,0.011557,0.015151,0.329946,0.310757,0.509,0.0636,0.0256,0.1142,ok
NDM5_3638,0.013022,0.015479,0.333848,0.313719,0.537,0.2586,0.0673,0.1525,ok
NDM5_3788,0.0,0.010885,0.273314,0.010885,0.435,0.1902,0.0199,0.0509,ok
NDM5_378_0,0.01398,0.021899,0.401377,0.397734,0.587,0.3132,0.064,0.1992,ok
NDM5_3842,0.228906,0.623513,0.794228,0.794228,0.853,0.374,0.2789,0.5632,ok
NDM5_3992,0.020703,0.027384,0.40007,0.393297,0.622,0.2238,0.0495,0.1877,ok
NDM5_400,0.040998,0.195275,0.560794,0.559902,0.728,0.1086,0.0711,0.3271,ok
NDM5_4028,0.0,0.0,0.0,0.0,0.251,0.1799,0.0143,0.0,ok
NDM5_4082,0.012895,0.014653,0.320658,0.29829,0.488,0.0703,0.034,0.1164,ok
NDM5_4085,0.01141,0.012988,0.295728,0.046899,0.538,0.2181,0.0382,0.0812,ok
NDM5_4115,0.0,0.0,0.0,0.0,0.285,0.323,0.0131,0.0,ok
NDM5_4149,0.0,0.0,0.0,0.0,0.32,0.1927,0.0172,0.0195,ok
NDM5_4170,0.0,0.0,0.0,0.0,0.347,0.1694,0.0172,0.0244,ok
NDM5_4177,0.0,0.014797,0.338305,0.268893,0.416,0.1593,0.021,0.0999,ok
NDM5_4207,0.012767,0.013894,0.311067,0.277775,0.52,0.3136,0.032,0.1239,ok
NDM5_4291,0.0,0.0,0.0,0.0,0.313,0.1191,0.0162,0.0104,ok
NDM5_4291_2,0.111281,0.58134,0.685371,0.684623,0.824,0.1637,0.1258,0.5059,ok
NDM5_4299,0.075192,0.413605,0.590064,0.589221,0.767,0.1156,0.1313,0.4318,ok
NDM5_434,0.091885,0.373865,0.557166,0.556348,0.746,0.5274,0.1709,0.3311,ok
NDM5_434_1,0.045844,0.107584,0.407938,0.402069,0.637,0.2143,0.0515,0.2269,ok
NDM5_442,0.0,0.0,0.0,0.0,0.387,0.0911,0.0154,0.0071,ok
NDM5_4477,0.03227,0.057875,0.353167,0.298687,0.596,0.1286,0.0408,0.1667,ok
NDM5_4530,0.0,0.0,0.0,0.0,0.389,0.1124,0.0181,0.0076,ok
NDM5_4535,0.0,0.0,0.0,0.0,0.356,0.264,0.015,0.0034,ok
NDM5_4560,0.0,0.0,0.0,0.0,0.27,0.0935,0.0161,0.0028,ok
NDM5_4562,0.019506,0.129727,0.34782,0.302835,0.606,0.1847,0.0586,0.1832,ok
NDM5_4567_2,0.01843,0.029322,0.374266,0.370111,0.609,0.1786,0.0506,0.19,ok
NDM5_459,0.018046,0.053758,0.378126,0.362116,0.58,0.299,0.0649,0.1951,ok
NDM5_4593,0.0,0.0,0.0,0.0,0.282,0.3162,0.0148,0.0,ok
NDM5_4621,0.011768,0.012513,0.296441,0.067134,0.502,0.3152,0.0275,0.0762,ok
NDM5_4625,0.031297,0.087313,0.410787,0.398982,0.6,0.23,0.0472,0.2187,ok
NDM5_4651,0.0,0.0,0.0,0.0,0.315,0.0719,0.0129,0.0,ok
NDM5_4652,0.0,0.0,0.0,0.0,0.332,0.3046,0.0143,0.0083,ok
NDM5_4658,0.0,0.0,0.0,0.0,0.339,0.2658,0.0159,0.0007,ok
NDM5_468,0.036899,0.177125,0.482551,0.47482,0.514,0.2735,0.0441,0.2518,ok
NDM5_4682,0.075402,0.389385,0.645424,0.645424,0.737,0.2237,0.1588,0.4159,ok
NDM5_4719,0.0,0.0,0.0,0.0,0.161,0.0618,0.0113,0.0,ok
NDM5_4743,0.0,0.012231,0.295935,0.143273,0.414,0.3391,0.0182,0.0663,ok
NDM5_4748,0.0,0.0,0.0,0.0,0.317,0.3112,0.0148,0.0212,ok
NDM5_4771,0.027281,0.276354,0.466954,0.466062,0.703,0.1146,0.1096,0.2983,ok
NDM5_4779,0.0,0.0,0.0,0.0,0.216,0.0668,0.0161,0.0,ok
NDM5_4834,0.017668,0.080487,0.360895,0.350617,0.67,0.1555,0.0445,0.2105,ok
NDM5_4835,0.0,0.0,0.0,0.0,0.19,0.0845,0.0125,0.0,ok
NDM5_4837,0.0,0.012357,0.285685,0.099148,0.412,0.2655,0.0228,0.0576,ok
NDM5_4896,0.0,0.0,0.0,0.0,0.332,0.2835,0.0173,0.0237,ok
NDM5_494,0.012585,0.0136,0.314786,0.229833,0.533,0.1342,0.034,0.1191,ok
NDM5_4952,0.011822,0.012779,0.300169,0.202968,0.425,0.234,0.0191,0.0821,ok
NDM5_4954,0.032944,0.085373,0.399388,0.396085,0.623,0.2333,0.0645,0.2048,ok
NDM5_4981,0.0,0.0,0.0,0.0,0.291,0.0733,0.0176,0.0147,ok
NDM5_532,0.0,0.0,0.0,0.0,0.225,0.2428,0.013,0.0,ok
NDM5_630_0,0.055059,0.249627,0.636766,0.636766,0.754,0.1394,0.1043,0.3831,ok
NDM5_659,0.04192,0.31686,0.574313,0.574313,0.737,0.1463,0.0967,0.3561,ok
NDM5_715,0.025679,0.122314,0.437318,0.433754,0.618,0.2615,0.0509,0.2221,ok
NDM5_735,0.031266,0.143989,0.501159,0.499302,0.731,0.0896,0.0678,0.2963,ok
NDM5_736_0,0.013834,0.022354,0.415201,0.413405,0.624,0.3816,0.0713,0.2276,ok
NDM5_737,0.041766,0.314887,0.565319,0.564425,0.719,0.2075,0.089,0.3165,ok
NDM5_764_0,0.013856,0.032512,0.485212,0.484285,0.623,0.3145,0.0906,0.2454,ok
NDM5_790,0.073406,0.376242,0.656226,0.655423,0.774,0.1499,0.1346,0.4069,ok
NDM5_796,0.012261,0.012363,0.289282,0.159748,0.463,0.2708,0.023,0.0756,ok
NDM5_827_0,0.032345,0.078128,0.500326,0.495591,0.721,0.277,0.1122,0.3006,ok
NDM5_859,0.0,0.0,0.0,0.0,0.402,0.1673,0.0158,0.0199,ok
config_NDM5_028,0.0,0.0,0.0,0.0,0.371,0.1397,0.0177,0.0182,ok
config_NDM5_044_2,0.0,0.012638,0.289894,0.133686,0.42,0.1644,0.0174,0.0678,ok
config_NDM5_069,0.031254,0.206692,0.488491,0.482418,0.624,0.1258,0.0656,0.2661,ok
config_NDM5_183,0.020719,0.185167,0.401847,0.389539,0.639,0.2454,0.0803,0.2328,ok
config_NDM5_223,0.019896,0.036237,0.38118,0.377602,0.594,0.1725,0.0417,0.1894,ok
config_NDM5_321,0.0,0.011323,0.281316,0.011323,0.416,0.3985,0.0206,0.0479,ok
config_NDM5_404,0.01382,0.020927,0.311074,0.291988,0.605,0.1493,0.0352,0.1363,ok
config_NDM5_582_2,0.027687,0.305109,0.469376,0.462256,0.721,0.4286,0.1161,0.3043,ok
config_NDM5_685,0.0,0.0,0.0,0.0,0.208,0.1446,0.0145,0.0,ok
config_NDM5_703,0.240337,0.661471,0.807641,0.807641,0.855,0.1857,0.1946,0.5746,ok
config_NDM5_704_2,0.0,0.0,0.0,0.0,0.169,0.0751,0.0122,0.0,ok
config_NDM5_721,0.014255,0.103701,0.321093,0.293408,0.536,0.1549,0.0392,0.1452,ok
